run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
3,mvrlu,24,1024,write_heavy,3932892,57021
3,mvrlu,24,1024,write_snap_long,4030159,74325
3,mvrlu,24,16384,read_heavy,117268,212
3,mvrlu,24,16384,read_snap_short,111921,467
3,mvrlu,24,16384,write_heavy,107424,333
3,mvrlu,24,16384,write_snap_long,93441,176
3,mvrlu,32,1024,read_heavy,7531761,70178
3,mvrlu,32,1024,read_snap_short,6716771,10182
3,mvrlu,32,1024,write_heavy,5175365,94374
3,mvrlu,32,1024,write_snap_long,5244793,32291
3,mvrlu,32,16384,read_heavy,156416,435
3,mvrlu,32,16384,read_snap_short,148116,289
3,mvrlu,32,16384,write_heavy,152059,14292
3,mvrlu,32,16384,write_snap_long,124415,108
3,mvrlu,48,1024,read_heavy,10855860,539436
3,mvrlu,48,1024,read_snap_short,10022444,71635
3,mvrlu,48,1024,write_heavy,7239826,53096
3,mvrlu,48,1024,write_snap_long,7547076,47623
3,mvrlu,48,16384,read_heavy,235296,1471
3,mvrlu,48,16384,read_snap_short,223414,396
3,mvrlu,48,16384,write_heavy,214678,1173
3,mvrlu,48,16384,write_snap_long,186163,779
3,mvrlu,64,1024,read_heavy,13118485,190242
3,mvrlu,64,1024,read_snap_short,11701418,283937
3,mvrlu,64,1024,write_heavy,7764739,71731
3,mvrlu,64,1024,write_snap_long,8047319,209024
3,mvrlu,64,16384,read_heavy,307092,2312
3,mvrlu,64,16384,read_snap_short,287079,3464
3,mvrlu,64,16384,write_heavy,285023,2106
3,mvrlu,64,16384,write_snap_long,244035,1204
3,vcas,1,1024,read_heavy,256864,466
3,vcas,1,1024,read_snap_short,247624,77
3,vcas,1,1024,write_heavy,232039,215
3,vcas,2,1024,read_heavy,510520,720
3,vcas,2,1024,read_snap_short,476016,1671
3,vcas,2,1024,write_heavy,419950,817
3,vcas,4,1024,read_heavy,1009335,4186
3,vcas,4,1024,read_snap_short,951268,1695
3,vcas,4,1024,write_heavy,816704,4865
3,vcas,8,1024,read_heavy,1950675,52287
3,vcas,8,1024,read_snap_short,1835931,16977
3,vcas,8,1024,write_heavy,1474676,8992
3,vcas,16,1024,read_heavy,3867568,11627
3,vcas,16,1024,read_snap_short,3556852,6597
3,vcas,16,1024,write_heavy,2681484,23023
3,vcas,24,1024,read_heavy,5673170,4750
3,vcas,24,1024,read_snap_short,5190727,46034
3,vcas,24,1024,write_heavy,3775788,71990
3,vcas,32,1024,read_heavy,7452166,26025
3,vcas,32,1024,write_heavy,5023300,24253
3,vcas,48,1024,read_heavy,10446642,29188
3,vcas,48,1024,write_heavy,7088130,47777
3,vcas,64,1024,read_heavy,12875459,65633
3,vcas,64,1024,write_heavy,7557274,31968
4,coarse,1,1024,read_heavy,990708,14870
4,coarse,1,1024,read_snap_short,982850,1840
4,coarse,1,1024,write_heavy,986941,633
4,coarse,1,1024,write_snap_long,878889,989
4,coarse,1,16384,read_heavy,28105,5
4,coarse,1,16384,read_snap_short,27924,18
4,coarse,1,16384,write_heavy,27955,22
4,coarse,1,16384,write_snap_long,25418,19
4,coarse,2,1024,read_heavy,409520,6149
4,coarse,2,1024,read_snap_short,420825,3831
4,coarse,2,1024,write_heavy,484468,2176
4,coarse,2,1024,write_snap_long,418226,6171
4,coarse,2,16384,read_heavy,25880,62
4,coarse,2,16384,read_snap_short,25807,38
4,coarse,2,16384,write_heavy,25748,75
4,coarse,2,16384,write_snap_long,23461,74
4,coarse,4,1024,read_heavy,420332,5838
4,coarse,4,1024,read_snap_short,429778,3883
4,coarse,4,1024,write_heavy,491471,4219
4,coarse,4,1024,write_snap_long,426729,3464
4,coarse,4,16384,read_heavy,26295,47
4,coarse,4,16384,read_snap_short,26059,44
4,coarse,4,16384,write_heavy,25798,273
4,coarse,4,16384,write_snap_long,23784,54
4,coarse,8,1024,read_heavy,414505,3859
4,coarse,8,1024,read_snap_short,424529,3531
4,coarse,8,1024,write_heavy,485452,6981
4,coarse,8,1024,write_snap_long,421155,3016
4,coarse,8,16384,read_heavy,25862,114
4,coarse,8,16384,read_snap_short,25689,111
4,coarse,8,16384,write_heavy,25464,70
4,coarse,8,16384,write_snap_long,23302,49
4,coarse,16,1024,read_heavy,408709,2524
4,coarse,16,1024,read_snap_short,418064,1562
4,coarse,16,1024,write_heavy,469062,4143
4,coarse,16,1024,write_snap_long,413679,2009
4,coarse,16,16384,read_heavy,23215,169
4,coarse,16,16384,read_snap_short,22707,241
4,coarse,16,16384,write_heavy,22531,282
4,coarse,16,16384,write_snap_long,20329,108
4,coarse,24,1024,read_heavy,403673,1015
4,coarse,24,1024,read_snap_short,414076,556
4,coarse,24,1024,write_heavy,456193,4482
4,coarse,24,1024,write_snap_long,405955,5611
4,coarse,24,16384,read_heavy,21240,161
4,coarse,24,16384,read_snap_short,21229,395
4,coarse,24,16384,write_heavy,20913,283
4,coarse,24,16384,write_snap_long,19214,182
4,coarse,32,1024,read_heavy,351890,6872
